n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time
0,             0,               0,              0,         0,           0,          0
1,             0,               0,              0,         0,           0,          0
2,             1,               0,              0,         2,           2,          0
3,             2,               0,              0,         6,           4,          0
4,             3,               0,              0,        11,           6,          0
5,             4,               0,              0,        17,           8,          0
6,             5,               0,              0,        24,          10,          0
7,             6,               0,              0,        32,          12,          0
8,             7,               0,              0,        41,          14,          0
9,             8,               0,              0,        51,          16,          0
