    n, bubble_cmp, bubble_swaps, bubble_time
    0,          0,            0,           0
    1,          0,            0,           0
    2,          0,            0,           0
    3,          1,            1,           0
    4,          3,            3,           0
    5,          6,            3,           0
    6,         10,            3,           0
    7,         15,            4,           0
    8,         21,            6,           0
    9,         28,            6,           0
   10,         36,            6,         500
   11,         45,            6,           0
   12,         55,            7,           0
   13,         66,            7,           0
   14,         78,            8,           0
   15,         91,            8,           0
   16,        105,            8,           0
   17,        120,            9,           0
   18,        136,           11,           0
   19,        153,           11,         500
   20,        171,           11,           0
   21,        190,           12,           0
   22,        210,           12,           0
   23,        231,           12,           0
   24,        253,           13,         501
   25,        276,           13,           0
   26,        300,           13,           0
   27,        325,           13,         499
   28,        351,           13,           0
   29,        378,           16,           0
   30,        406,           17,         500
   31,        435,           17,           0
   32,        465,           17,         500
   33,        496,           17,           0
   34,        528,           19,         500
   35,        561,           20,           0
   36,        595,           23,         500
   37,        630,           23,           0
   38,        666,           23,         500
   39,        703,           24,         500
   40,        741,           24,         500
   41,        780,           24,           0
   42,        820,           24,         500
   43,        861,           25,         500
   44,        903,           27,         500
   45,        946,           28,         500
   46,        990,           28,         500
   47,       1035,           28,         500
   48,       1081,           29,         500
   49,       1128,           31,         499
   50,       1176,           31,         500
   51,       1225,           31,         500
   52,       1275,           32,         499
   53,       1326,           33,         500
   54,       1378,           33,        1000
   55,       1431,           33,         501
   56,       1485,           33,         499
   57,       1540,           33,         500
   58,       1596,           33,         500
   59,       1653,           33,        1000
   60,       1711,           33,        1001
   61,       1770,           33,         499
   62,       1830,           33,        1001
   63,       1891,           33,        1000
   64,       1953,           33,         500
   65,       2016,           34,         500
   66,       2080,           34,        1001
   67,       2145,           34,        1000
   68,       2211,           34,        1001
   69,       2278,           34,        1000
   70,       2346,           34,        1502
   71,       2415,           34,        1000
   72,       2485,           34,        1001
   73,       2556,           34,        1001
   74,       2628,           34,        1500
   75,       2701,           34,        1000
   76,       2775,           34,        1501
   77,       2850,           34,        1000
   78,       2926,           34,        1501
   79,       3003,           34,        1500
   80,       3081,           35,        1501
   81,       3160,           35,        1501
   82,       3240,           35,        1001
   83,       3321,           35,        1502
   84,       3403,           35,        1500
   85,       3486,           36,        1501
   86,       3570,           36,        1501
   87,       3655,           38,        1500
   88,       3741,           38,        2002
   89,       3828,           38,        1501
   90,       3916,           38,        2001
   91,       4005,           38,        1501
   92,       4095,           38,        2001
   93,       4186,           38,        2001
   94,       4278,           38,        2001
   95,       4371,           38,        2001
   96,       4465,           38,        2001
   97,       4560,           38,        2002
   98,       4656,           38,        2001
   99,       4753,           38,        2001
  100,       4851,           38,        2502
  101,       4950,           38,        2002
  102,       5050,           39,        2501
  103,       5151,           39,        2002
  104,       5253,           39,        2502
  105,       5356,           39,        2501
  106,       5460,           39,        2502
  107,       5565,           39,        2502
  108,       5671,           40,        2501
  109,       5778,           42,        2502
  110,       5886,           42,        2501
  111,       5995,           42,        3002
  112,       6105,           42,        2501
  113,       6216,           44,        3002
  114,       6328,           44,        2501
  115,       6441,           44,        3002
  116,       6555,           45,        3003
  117,       6670,           46,        3002
  118,       6786,           47,        3002
  119,       6903,           47,        3002
  120,       7021,           47,        3002
  121,       7140,           47,        3003
  122,       7260,           47,        3001
  123,       7381,           47,        3503
  124,       7503,           47,        3503
  125,       7626,           48,        3002
  126,       7750,           48,        3503
  127,       7875,           48,        3503
  128,       8001,           48,        3502
  129,       8128,           49,        4003
  130,       8256,           49,        3503
  131,       8385,           51,        4003
  132,       8515,           51,        3503
  133,       8646,           51,        4002
  134,       8778,           52,        4003
  135,       8911,           52,        3503
  136,       9045,           52,        3503
  137,       9180,           53,        4003
  138,       9316,           55,        4003
  139,       9453,           55,        4004
