    n, insertion_cmp, insertion_swaps, insertion_time
    0,             0,               0,              0
    1,             0,               0,              0
    2,             1,               1,              0
    3,             3,               3,              0
    4,             4,               3,              0
    5,             5,               3,              0
    6,             7,               4,              0
    7,            10,               6,              0
    8,            11,               6,              0
    9,            12,               6,              0
   10,            13,               6,              0
   11,            15,               7,              0
   12,            16,               7,              0
   13,            18,               8,              0
   14,            19,               8,              0
   15,            20,               8,              0
   16,            22,               9,              0
   17,            25,              11,              0
   18,            26,              11,              0
   19,            27,              11,              0
   20,            29,              12,              0
   21,            30,              12,              0
   22,            31,              12,              0
   23,            33,              13,              0
   24,            34,              13,            500
   25,            35,              13,              0
   26,            36,              13,              0
   27,            37,              13,              0
   28,            41,              16,              0
   29,            43,              17,              0
   30,            44,              17,              0
   31,            45,              17,              0
   32,            46,              17,              0
   33,            49,              19,              0
   34,            51,              20,              0
   35,            55,              23,            500
   36,            56,              23,              0
   37,            57,              23,              0
   38,            59,              24,              0
   39,            60,              24,              0
   40,            61,              24,              0
   41,            62,              24,              0
   42,            64,              25,              0
   43,            67,              27,              0
   44,            69,              28,              0
   45,            70,              28,              0
   46,            71,              28,              0
   47,            73,              29,              0
   48,            76,              31,              0
   49,            77,              31,              0
   50,            78,              31,            500
   51,            80,              32,              0
   52,            82,              33,              0
   53,            83,              33,              0
   54,            84,              33,              0
   55,            85,              33,              0
   56,            86,              33,              0
   57,            87,              33,              0
   58,            88,              33,              0
   59,            89,              33,              0
   60,            90,              33,              0
   61,            91,              33,              0
   62,            92,              33,            500
   63,            93,              33,              0
   64,            95,              34,              0
   65,            96,              34,              0
   66,            97,              34,              0
   67,            98,              34,              0
   68,            99,              34,              0
   69,           100,              34,              0
   70,           101,              34,              0
   71,           102,              34,              0
   72,           103,              34,              0
   73,           104,              34,              0
   74,           105,              34,              0
   75,           106,              34,              0
   76,           107,              34,              0
   77,           108,              34,              0
   78,           109,              34,              0
   79,           111,              35,              0
   80,           112,              35,              0
   81,           113,              35,              0
   82,           114,              35,            500
   83,           115,              35,              0
   84,           117,              36,              0
   85,           118,              36,              0
   86,           121,              38,              0
   87,           122,              38,              0
   88,           123,              38,              0
   89,           124,              38,              0
   90,           125,              38,              0
   91,           126,              38,            500
   92,           127,              38,              0
   93,           128,              38,              0
   94,           129,              38,              0
   95,           130,              38,            500
   96,           131,              38,              0
   97,           132,              38,              0
   98,           133,              38,              0
   99,           134,              38,            499
  100,           135,              38,              0
  101,           137,              39,              0
  102,           138,              39,              0
  103,           139,              39,            500
  104,           140,              39,              0
  105,           141,              39,              0
  106,           142,              39,              0
  107,           144,              40,              0
  108,           147,              42,              0
  109,           148,              42,              0
  110,           149,              42,            500
  111,           150,              42,              0
  112,           153,              44,              0
  113,           154,              44,              0
  114,           155,              44,            500
  115,           157,              45,              0
  116,           159,              46,              0
  117,           161,              47,            500
  118,           162,              47,              0
  119,           163,              47,              0
  120,           164,              47,              0
  121,           165,              47,              0
  122,           166,              47,              0
  123,           167,              47,              0
  124,           169,              48,            500
  125,           170,              48,              0
  126,           171,              48,              0
  127,           172,              48,            500
  128,           174,              49,              0
  129,           175,              49,              0
  130,           178,              51,            500
  131,           179,              51,              0
  132,           180,              51,              0
  133,           182,              52,            499
  134,           183,              52,              0
  135,           184,              52,              0
  136,           186,              53,            500
  137,           189,              55,              0
  138,           190,              55,              0
  139,           192,              56,            501
  140,           193,              56,              0
  141,           194,              56,              0
  142,           195,              56,              0
  143,           196,              56,              0
  144,           197,              56,            500
  145,           200,              58,              0
  146,           204,              61,              0
  147,           205,              61,            500
  148,           206,              61,              0
  149,           207,              61,            500
  150,           208,              61,              0
  151,           209,              61,              0
  152,           210,              61,              0
  153,           211,              61,              0
  154,           213,              62,            500
