    n, heap_cmp, heap_swaps, heap_time
    0,        0,          0,         0
    1,        0,          0,         0
    2,        0,          1,         0
    3,        1,          3,         0
    4,        4,          6,         0
    5,        8,          9,         0
    6,       12,         11,         0
    7,       16,         14,         0
    8,       22,         19,         0
    9,       29,         22,         0
   10,       35,         27,         0
   11,       42,         31,         0
   12,       48,         36,         0
   13,       55,         40,         0
   14,       61,         45,         0
   15,       68,         48,         0
   16,       77,         56,         0
   17,       87,         61,       500
   18,       95,         66,         0
   19,      105,         71,         0
   20,      113,         77,         0
   21,      123,         82,         0
   22,      130,         87,         0
   23,      141,         93,       499
   24,      150,        100,         0
   25,      160,        105,         0
   26,      168,        110,         0
   27,      178,        115,       500
   28,      185,        121,         0
   29,      193,        124,         0
   30,      202,        131,       501
   31,      212,        136,         0
   32,      223,        145,         0
   33,      236,        150,       499
   34,      246,        156,         0
   35,      257,        163,         0
   36,      267,        168,       500
   37,      279,        175,         0
   38,      289,        181,       500
   39,      301,        188,         0
   40,      311,        193,         0
   41,      323,        200,       500
   42,      333,        206,         0
   43,      345,        213,       499
   44,      356,        221,         0
   45,      368,        226,       500
   46,      378,        233,         0
   47,      390,        239,         0
   48,      400,        246,       500
   49,      413,        251,         0
   50,      422,        258,       500
   51,      433,        268,       500
   52,      444,        272,         0
   53,      456,        279,       500
   54,      466,        285,         0
   55,      479,        290,         0
   56,      486,        297,       499
   57,      497,        302,       500
   58,      510,        311,         0
   59,      523,        316,       500
   60,      531,        321,       500
   61,      542,        328,       500
   62,      554,        337,       500
   63,      567,        342,       499
   64,      579,        352,         0
   65,      595,        361,       501
   66,      607,        368,       499
   67,      621,        375,       500
   68,      634,        383,       499
   69,      649,        392,       500
   70,      661,        399,       500
   71,      675,        404,       499
   72,      683,        411,       500
   73,      697,        416,       500
   74,      713,        427,       500
   75,      728,        436,       501
   76,      740,        443,       499
   77,      753,        448,       500
   78,      766,        457,       499
   79,      781,        465,       500
   80,      794,        472,       500
   81,      810,        479,       500
   82,      822,        490,      1001
   83,      835,        495,       500
   84,      849,        505,       500
   85,      863,        512,       500
   86,      876,        521,      1001
   87,      889,        526,       499
   88,      903,        531,       500
   89,      917,        540,       499
   90,      928,        549,      1001
   91,      943,        558,       500
   92,      955,        567,       500
   93,      970,        572,      1001
   94,      983,        581,       500
   95,      996,        586,      1000
   96,     1007,        593,       500
   97,     1023,        603,       499
   98,     1034,        606,      1000
   99,     1049,        616,       501
  100,     1063,        627,       999
  101,     1077,        631,       500
  102,     1092,        644,      1001
  103,     1105,        649,       499
  104,     1114,        656,      1001
  105,     1128,        659,       500
  106,     1144,        672,      1000
  107,     1159,        680,      1000
  108,     1171,        691,       500
  109,     1185,        698,      1001
  110,     1195,        701,      1000
  111,     1211,        710,       500
  112,     1223,        721,      1001
  113,     1235,        726,      1000
  114,     1248,        733,       500
  115,     1264,        743,       500
  116,     1279,        751,      1000
  117,     1293,        757,      1001
  118,     1299,        764,       499
  119,     1314,        769,       500
  120,     1328,        778,      1000
  121,     1340,        783,      1001
  122,     1354,        794,      1000
  123,     1368,        803,       501
  124,     1377,        807,       500
  125,     1392,        812,      1000
  126,     1405,        823,      1000
  127,     1419,        830,      1000
  128,     1434,        842,      1001
  129,     1448,        851,      1000
  130,     1462,        858,      1000
  131,     1480,        871,      1000
  132,     1495,        873,      1000
  133,     1509,        881,      1001
  134,     1522,        891,      1000
  135,     1541,        904,      1000
  136,     1554,        912,      1000
  137,     1573,        917,       500
  138,     1587,        932,      1000
  139,     1603,        938,      1000
  140,     1616,        947,      1000
  141,     1633,        956,      1001
  142,     1647,        963,      1000
  143,     1664,        972,      1501
  144,     1679,        979,      1000
  145,     1695,        986,      1001
  146,     1710,        996,      1501
