   n, bubble_cmp, bubble_swaps, bubble_time
   0,          0,            0,           0
   1,          0,            0,           0
   2,          0,            0,           0
   3,          1,            0,           0
   4,          3,            2,           0
   5,          6,            2,           0
   6,         10,            2,           0
   7,         15,            2,           0
   8,         21,            2,           0
   9,         28,            2,           0
  10,         36,            2,           0
  11,         45,            2,           0
  12,         55,            2,           0
  13,         66,            3,           0
  14,         78,            3,           0
  15,         91,            3,         499
  16,        105,            3,           0
  17,        120,            3,           0
  18,        136,            4,           0
  19,        153,            4,           0
  20,        171,            4,           0
  21,        190,            5,         500
  22,        210,            6,           0
  23,        231,            6,           0
  24,        253,            6,           0
  25,        276,            6,         500
  26,        300,            6,           0
  27,        325,            7,           0
  28,        351,            8,         500
  29,        378,           10,           0
  30,        406,           10,         499
  31,        435,           10,           0
  32,        465,           11,         500
  33,        496,           11,           0
  34,        528,           11,         500
  35,        561,           11,           0
  36,        595,           12,         499
  37,        630,           12,         500
  38,        666,           12,           0
  39,        703,           12,         500
  40,        741,           12,         500
  41,        780,           13,         500
  42,        820,           13,           0
  43,        861,           13,         499
  44,        903,           13,         500
  45,        946,           13,         501
  46,        990,           13,         499
  47,       1035,           13,         501
  48,       1081,           14,         499
  49,       1128,           15,        1001
  50,       1176,           15,         499
  51,       1225,           15,         500
  52,       1275,           16,         500
  53,       1326,           17,         500
  54,       1378,           19,         500
  55,       1431,           21,        1001
  56,       1485,           21,         499
  57,       1540,           21,        1001
  58,       1596,           21,         500
  59,       1653,           21,        1000
  60,       1711,           21,        1000
  61,       1770,           21,         500
  62,       1830,           21,        1001
  63,       1891,           21,        1000
  64,       1953,           21,        1001
  65,       2016,           22,        1000
  66,       2080,           22,        1001
  67,       2145,           22,        1002
  68,       2211,           22,         999
  69,       2278,           23,        1000
  70,       2346,           25,        1000
  71,       2415,           28,        1001
  72,       2485,           31,        1501
  73,       2556,           31,        1000
  74,       2628,           31,        1501
  75,       2701,           31,        1000
  76,       2775,           31,        1501
  77,       2850,           31,        1001
  78,       2926,           31,        1000
  79,       3003,           32,        1501
  80,       3081,           34,        1501
  81,       3160,           34,        1501
  82,       3240,           34,        1501
  83,       3321,           34,        1500
  84,       3403,           35,        2001
  85,       3486,           35,        1501
  86,       3570,           37,        1501
  87,       3655,           40,        2001
  88,       3741,           40,        1502
  89,       3828,           40,        2001
  90,       3916,           40,        1500
  91,       4005,           40,        1500
  92,       4095,           41,        2002
  93,       4186,           41,        2001
  94,       4278,           41,        2001
  95,       4371,           41,        2002
  96,       4465,           41,        2001
  97,       4560,           41,        2002
  98,       4656,           44,        2002
  99,       4753,           48,        2001
 100,       4851,           48,        2501
 101,       4950,           48,        2002
 102,       5050,           48,        2001
 103,       5151,           48,        2502
 104,       5253,           48,        2501
 105,       5356,           48,        2502
 106,       5460,           48,        2501
 107,       5565,           48,        2502
 108,       5671,           49,        2502
 109,       5778,           50,        2501
 110,       5886,           53,        2502
 111,       5995,           55,        2501
 112,       6105,           55,        2501
 113,       6216,           55,        3002
 114,       6328,           56,        3002
 115,       6441,           57,        3002
 116,       6555,           60,        3002
 117,       6670,           60,        3002
 118,       6786,           60,        3002
 119,       6903,           60,        3503
 120,       7021,           62,        3002
 121,       7140,           62,        3502
 122,       7260,           62,        3503
 123,       7381,           62,        3002
 124,       7503,           62,        3002
 125,       7626,           62,        3502
 126,       7750,           62,        3503
 127,       7875,           62,        3503
 128,       8001,           62,        3502
 129,       8128,           62,        4003
 130,       8256,           64,        3502
 131,       8385,           64,        4004
 132,       8515,           64,        4002
 133,       8646,           64,        4003
 134,       8778,           65,        4003
 135,       8911,           65,        4003
 136,       9045,           65,        4003
 137,       9180,           65,        4503
 138,       9316,           65,        4003
 139,       9453,           65,        4503
