   n, heap_cmp, heap_swaps, heap_time
   0,        0,          0,         0
   1,        0,          0,         0
   2,        0,          1,         0
   3,        1,          3,         0
   4,        4,          6,         0
   5,        8,          9,         0
   6,       11,         12,         0
   7,       14,         13,         0
   8,       20,         18,         0
   9,       27,         21,         0
  10,       33,         26,       501
  11,       40,         29,         0
  12,       47,         35,         0
  13,       54,         38,         0
  14,       59,         42,         0
  15,       67,         45,         0
  16,       75,         52,         0
  17,       85,         56,         0
  18,       93,         63,         0
  19,      103,         68,       500
  20,      111,         74,         0
  21,      120,         78,         0
  22,      129,         83,         0
  23,      139,         88,         0
  24,      147,         97,       500
  25,      157,        102,         0
  26,      165,        108,         0
  27,      174,        112,         0
  28,      183,        119,       499
  29,      193,        124,         0
  30,      201,        129,         0
  31,      211,        135,       500
  32,      222,        144,         0
  33,      235,        149,         0
  34,      245,        156,       500
  35,      257,        162,         0
  36,      268,        171,         0
  37,      280,        178,       500
  38,      289,        183,         0
  39,      301,        188,       500
  40,      309,        192,         0
  41,      322,        197,       500
  42,      333,        208,         0
  43,      345,        215,       500
  44,      355,        222,         0
  45,      367,        227,       500
  46,      377,        234,         0
  47,      389,        240,       500
  48,      398,        247,         0
  49,      411,        253,         0
  50,      419,        258,       500
  51,      432,        265,         0
  52,      445,        277,       500
  53,      454,        278,       499
  54,      464,        285,         0
  55,      477,        292,       501
  56,      486,        296,       500
  57,      499,        303,         0
  58,      509,        312,       499
  59,      521,        317,       499
  60,      532,        326,       500
  61,      545,        332,         0
  62,      555,        337,       500
  63,      567,        344,       500
  64,      578,        352,       499
  65,      592,        359,       500
  66,      606,        368,         0
  67,      621,        375,         0
  68,      634,        383,       500
  69,      649,        390,       500
  70,      661,        398,       500
  71,      674,        405,       501
  72,      683,        414,       500
  73,      694,        419,       499
  74,      712,        430,       500
  75,      727,        437,       500
  76,      739,        446,       500
  77,      753,        451,       500
  78,      766,        461,       500
  79,      780,        468,       499
  80,      794,        475,       500
  81,      807,        482,       500
  82,      820,        489,       500
  83,      833,        497,       500
  84,      847,        506,       499
  85,      862,        513,       500
  86,      874,        521,       499
  87,      885,        524,       500
  88,      898,        533,      1002
  89,      911,        535,       500
  90,      923,        545,       499
  91,      938,        553,       499
  92,      950,        564,       500
  93,      965,        570,       500
  94,      977,        576,       500
  95,      990,        581,      1000
  96,     1003,        592,       500
  97,     1014,        594,       500
  98,     1028,        609,       500
  99,     1043,        616,       500
 100,     1055,        626,      1000
 101,     1072,        635,       500
 102,     1086,        639,      1000
 103,     1097,        642,       500
 104,     1110,        654,      1000
 105,     1123,        659,       500
 106,     1137,        665,      1000
 107,     1154,        675,       500
 108,     1160,        685,      1001
 109,     1177,        687,       500
 110,     1192,        698,      1001
 111,     1202,        708,      1000
 112,     1214,        715,       500
 113,     1229,        721,      1000
 114,     1241,        730,      1001
 115,     1255,        736,      1000
 116,     1268,        747,       500
 117,     1281,        755,      1000
 118,     1295,        763,      1000
 119,     1309,        770,      1001
 120,     1321,        778,      1000
 121,     1334,        782,       500
 122,     1348,        789,      1000
 123,     1363,        799,      1001
 124,     1372,        805,      1000
 125,     1384,        809,      1000
 126,     1399,        820,      1001
 127,     1416,        831,      1001
 128,     1430,        840,      1000
 129,     1442,        846,      1000
 130,     1460,        859,      1001
 131,     1478,        866,      1000
 132,     1495,        871,      1001
 133,     1506,        875,      1001
 134,     1523,        892,      1000
 135,     1544,        904,      1000
 136,     1554,        910,      1001
 137,     1571,        915,      1000
 138,     1582,        924,      1000
 139,     1601,        934,      1001
 140,     1615,        941,      1000
 141,     1630,        949,      1000
 142,     1650,        959,      1502
 143,     1659,        962,      1000
 144,     1673,        974,      1000
 145,     1689,        978,      1001
 146,     1704,        988,      1000
