   n, insertion_cmp, insertion_swaps, insertion_time
   0,             0,               0,              0
   1,             0,               0,              0
   2,             1,               0,              0
   3,             3,               2,              0
   4,             4,               2,              0
   5,             5,               2,              0
   6,             6,               2,              0
   7,             7,               2,              0
   8,             8,               2,              0
   9,             9,               2,              0
  10,            10,               2,              0
  11,            11,               2,              0
  12,            13,               3,              0
  13,            14,               3,              0
  14,            15,               3,              0
  15,            16,               3,              0
  16,            17,               3,              0
  17,            19,               4,              0
  18,            20,               4,              0
  19,            21,               4,              0
  20,            23,               5,              0
  21,            25,               6,              0
  22,            26,               6,              0
  23,            27,               6,              0
  24,            28,               6,              0
  25,            29,               6,              0
  26,            31,               7,              0
  27,            33,               8,              0
  28,            36,              10,              0
  29,            37,              10,              0
  30,            38,              10,              0
  31,            40,              11,              0
  32,            41,              11,              0
  33,            42,              11,              0
  34,            43,              11,              0
  35,            45,              12,            500
  36,            46,              12,              0
  37,            47,              12,              0
  38,            48,              12,              0
  39,            49,              12,              0
  40,            51,              13,              0
  41,            52,              13,            500
  42,            53,              13,              0
  43,            54,              13,              0
  44,            55,              13,              0
  45,            56,              13,              0
  46,            57,              13,              0
  47,            59,              14,              0
  48,            61,              15,              0
  49,            62,              15,              0
  50,            63,              15,              0
  51,            65,              16,              0
  52,            67,              17,              0
  53,            70,              19,              0
  54,            73,              21,            500
  55,            74,              21,              0
  56,            75,              21,              0
  57,            76,              21,              0
  58,            77,              21,              0
  59,            78,              21,              0
  60,            79,              21,              0
  61,            80,              21,            500
  62,            81,              21,              0
  63,            82,              21,              0
  64,            84,              22,              0
  65,            85,              22,            501
  66,            86,              22,              0
  67,            87,              22,              0
  68,            89,              23,              0
  69,            92,              25,            499
  70,            96,              28,              0
  71,           100,              31,              0
  72,           101,              31,            501
  73,           102,              31,              0
  74,           103,              31,              0
  75,           104,              31,              0
  76,           105,              31,              0
  77,           106,              31,              0
  78,           108,              32,              0
  79,           111,              34,              0
  80,           112,              34,              0
  81,           113,              34,            500
  82,           114,              34,              0
  83,           116,              35,              0
  84,           117,              35,              0
  85,           120,              37,            499
  86,           124,              40,              0
  87,           125,              40,              0
  88,           126,              40,              0
  89,           127,              40,            500
  90,           128,              40,              0
  91,           130,              41,              0
  92,           131,              41,              0
  93,           132,              41,              0
  94,           133,              41,              0
  95,           134,              41,              0
  96,           135,              41,              0
  97,           139,              44,            500
  98,           144,              48,              0
  99,           145,              48,              0
 100,           146,              48,              0
 101,           147,              48,              0
 102,           148,              48,              0
 103,           149,              48,              0
 104,           150,              48,              0
 105,           151,              48,              0
 106,           152,              48,            500
 107,           154,              49,              0
 108,           156,              50,              0
 109,           160,              53,            500
 110,           163,              55,              0
 111,           164,              55,              0
 112,           165,              55,              0
 113,           167,              56,              0
 114,           169,              57,              0
 115,           173,              60,            499
 116,           174,              60,              0
 117,           175,              60,              0
 118,           176,              60,            501
 119,           179,              62,              0
 120,           180,              62,              0
 121,           181,              62,            500
 122,           182,              62,              0
 123,           183,              62,              0
 124,           184,              62,            500
 125,           185,              62,              0
 126,           186,              62,              0
 127,           187,              62,            499
 128,           188,              62,              0
 129,           191,              64,              0
 130,           192,              64,            500
 131,           193,              64,              0
 132,           194,              64,              0
 133,           196,              65,            501
 134,           197,              65,              0
 135,           198,              65,              0
 136,           199,              65,              0
 137,           200,              65,              0
 138,           201,              65,            500
 139,           202,              65,              0
 140,           203,              65,              0
 141,           204,              65,            499
 142,           205,              65,              0
 143,           208,              67,              0
 144,           209,              67,            499
 145,           210,              67,              0
 146,           212,              68,            500
 147,           213,              68,              0
 148,           214,              68,              0
 149,           215,              68,            500
 150,           217,              69,              0
 151,           219,              70,              0
 152,           220,              70,              0
 153,           221,              70,              0
 154,           222,              70,              0
