   n, quick_cmp, quick_swaps, quick_time
   0,         0,           0,          0
   1,         0,           0,          0
   2,         2,           2,          0
   3,         7,           2,          0
   4,        13,           5,          0
   5,        18,           7,          0
   6,        20,           6,          0
   7,        25,           8,          0
   8,        35,          10,          0
   9,        43,          12,          0
  10,        51,          14,          0
  11,        60,          16,          0
  12,        70,          18,        501
  13,        76,          19,          0
  14,        86,          21,          0
  15,        98,          23,          0
  16,       109,          25,          0
  17,       121,          27,          0
  18,       129,          28,          0
  19,       140,          30,        500
  20,       164,          34,          0
  21,       173,          35,          0
  22,       185,          36,          0
  23,       199,          38,        500
  24,       195,          38,          0
  25,       210,          40,          0
  26,       224,          42,          0
  27,       235,          43,        500
  28,       251,          45,          0
  29,       261,          46,          0
  30,       290,          50,        499
  31,       304,          52,          0
  32,       321,          53,        500
  33,       333,          54,          0
  34,       326,          54,          0
  35,       342,          56,        500
  36,       372,          57,          0
  37,       387,          59,        500
  38,       404,          61,          0
  39,       422,          63,        500
  40,       445,          65,          0
  41,       482,          69,        500
  42,       472,          68,          0
  43,       491,          70,        500
  44,       510,          72,          0
  45,       530,          74,        500
  46,       550,          76,        500
  47,       572,          78,          0
  48,       641,          81,        499
  49,       662,          83,        501
  50,       662,          84,          0
  51,       665,          84,          0
  52,       728,          87,        499
  53,       752,          89,        500
  54,       778,          91,        500
  55,       800,          92,        499
  56,       796,          94,          0
  57,       817,          96,       1001
  58,       873,         100,        499
  59,       897,         102,          0
  60,       928,         103,          0
  61,       955,         105,        500
  62,       944,         105,        500
  63,       971,         107,        500
  64,       993,         107,        499
  65,      1024,         110,        500
  66,      1086,         114,        500
  67,      1114,         116,        500
  68,      1122,         115,        500
  69,      1129,         117,       1001
  70,      1167,         118,        500
  71,      1197,         120,        500
  72,      1219,         120,       1000
  73,      1247,         122,        500
  74,      1276,         124,        500
  75,      1305,         126,       1001
  76,      1374,         130,        501
  77,      1404,         132,       1000
  78,      1415,         131,        500
  79,      1422,         133,       1000
  80,      1456,         134,        500
  81,      1487,         136,       1000
  82,      1519,         138,        500
  83,      1552,         140,       1000
  84,      1581,         141,        501
  85,      1615,         143,       1000
  86,      1645,         144,        499
  87,      1677,         147,        500
  88,      1709,         149,       1001
  89,      1741,         151,       1000
  90,      1819,         153,        500
  91,      1853,         155,       1501
  92,      1897,         157,       1000
  93,      1929,         158,       1000
  94,      2010,         162,       1001
  95,      2049,         164,       1000
  96,      2024,         164,       1001
  97,      2064,         166,       1000
  98,      2196,         169,       1001
  99,      2231,         172,       1000
 100,      2225,         171,       1000
 101,      2264,         173,       1501
 102,      2392,         179,       1001
 103,      2433,         181,       1001
 104,      2427,         182,       1001
 105,      2470,         184,       1500
 106,      2509,         183,       1000
 107,      2555,         185,       1001
 108,      2544,         186,       1000
 109,      2592,         189,       1001
 110,      2632,         190,       1501
 111,      2676,         192,       1000
 112,      2720,         194,       1501
 113,      2764,         196,       1001
 114,      2810,         198,       1000
 115,      2854,         200,       1501
 116,      2891,         201,       1000
 117,      2933,         203,       1000
 118,      2975,         205,       1501
 119,      3020,         207,       1501
 120,      3058,         208,       1501
 121,      3101,         210,       1501
 122,      3147,         212,       1501
 123,      3189,         214,       1501
 124,      3297,         218,       1501
 125,      3342,         220,       1500
 126,      3408,         221,       1501
 127,      3456,         223,       2001
 128,      3421,         223,       1501
 129,      3463,         223,       1501
 130,      3515,         226,       1501
 131,      3563,         228,       2001
 132,      3744,         232,       1501
 133,      3794,         234,       2001
 134,      3905,         236,       1501
 135,      3956,         238,       2001
 136,      4078,         242,       2001
 137,      4134,         244,       2001
 138,      3985,         243,       1501
 139,      4040,         245,       2001
 140,      4098,         246,       2001
 141,      4155,         248,       2002
 142,      4142,         250,       2001
