  n, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
  0,             0,               0,              0,          0,            0,           0
  1,             0,               0,              0,          0,            0,           0
  2,             1,               0,              0,          0,            0,           0
  3,             2,               0,              0,          1,            0,           0
  4,             4,               1,              0,          3,            0,           0
  5,             5,               1,              0,          6,            1,           0
  6,             9,               4,              0,         10,            1,           0
  7,            12,               6,              0,         15,            4,           0
  8,            13,               6,              0,         21,            6,           0
  9,            14,               6,              0,         28,            6,           0
 10,            16,               7,              0,         36,            6,           0
 11,            18,               8,              0,         45,            7,           0
 12,            19,               8,              0,         55,            8,           0
 13,            20,               8,              0,         66,            8,           0
 14,            21,               8,              0,         78,            8,           0
 15,            22,               8,              0,         91,            8,           0
 16,            23,               8,              0,        105,            8,           0
 17,            24,               8,              0,        120,            8,           0
 18,            25,               8,              0,        136,            8,           0
 19,            27,               9,              0,        153,            8,         500
 20,            28,               9,              0,        171,            9,           0
 21,            29,               9,              0,        190,            9,           0
 22,            30,               9,              0,        210,            9,           0
 23,            31,               9,            500,        231,            9,           0
 24,            32,               9,              0,        253,            9,           0
 25,            33,               9,              0,        276,            9,         499
 26,            34,               9,              0,        300,            9,           0
 27,            35,               9,              0,        325,            9,           0
 28,            37,              10,              0,        351,            9,         500
 29,            39,              11,              0,        378,           10,           0
 30,            40,              11,              0,        406,           11,         499
 31,            41,              11,              0,        435,           11,           0
 32,            42,              11,              0,        465,           11,         500
 33,            43,              11,              0,        496,           11,           0
 34,            44,              11,            499,        528,           11,           0
 35,            46,              12,              0,        561,           11,         500
 36,            48,              13,              0,        595,           12,           0
 37,            50,              14,            500,        630,           13,           0
 38,            55,              18,              0,        666,           14,         500
 39,            56,              18,              0,        703,           18,         500
 40,            57,              18,              0,        741,           18,         500
 41,            58,              18,              0,        780,           18,         500
 42,            59,              18,              0,        820,           18,         499
 43,            61,              19,              0,        861,           18,         500
 44,            63,              20,              0,        903,           19,         500
 45,            65,              21,              0,        946,           20,         500
 46,            66,              21,              0,        990,           21,         499
 47,            67,              21,              0,       1035,           21,         501
 48,            68,              21,              0,       1081,           21,         500
 49,            69,              21,              0,       1128,           21,        1001
 50,            71,              22,              0,       1176,           21,         500
 51,            72,              22,              0,       1225,           22,         500
 52,            73,              22,              0,       1275,           22,        1000
 53,            75,              23,              0,       1326,           22,         500
 54,            77,              24,            500,       1378,           23,         500
 55,            78,              24,              0,       1431,           24,        1000
 56,            80,              25,              0,       1485,           24,        1000
 57,            81,              25,              0,       1540,           25,        1001
 58,            82,              25,              0,       1596,           25,         500
 59,            83,              25,            499,       1653,           25,         501
 60,            85,              26,              0,       1711,           25,        1000
 61,            86,              26,              0,       1770,           26,        1000
 62,            87,              26,              0,       1830,           26,        1000
 63,            88,              26,              0,       1891,           26,        1000
 64,            89,              26,              0,       1953,           26,        1001
 65,            90,              26,              0,       2016,           26,        1000
 66,            91,              26,              0,       2080,           26,        1000
 67,            92,              26,              0,       2145,           26,        1002
 68,            94,              27,            499,       2211,           26,        1000
 69,            97,              29,              0,       2278,           27,        1000
 70,           100,              31,              0,       2346,           29,        1501
 71,           101,              31,              0,       2415,           31,        1500
 72,           102,              31,              0,       2485,           31,        1001
 73,           104,              32,            500,       2556,           31,        1000
 74,           106,              33,              0,       2628,           32,        1500
 75,           107,              33,              0,       2701,           33,        1001
 76,           108,              33,              0,       2775,           33,        1002
 77,           109,              33,            498,       2850,           33,        1001
 78,           111,              34,            500,       2926,           33,        1001
 79,           112,              34,            501,       3003,           34,        1500
 80,           113,              34,              0,       3081,           34,        1501
 81,           114,              34,              0,       3160,           34,        1501
 82,           115,              34,              0,       3240,           34,        2001
 83,           116,              34,              0,       3321,           34,        1501
 84,           117,              34,            500,       3403,           34,        1500
 85,           118,              34,              0,       3486,           34,        1501
 86,           119,              34,            500,       3570,           34,        1501
 87,           120,              34,              0,       3655,           34,        2002
 88,           121,              34,              0,       3741,           34,        1500
 89,           122,              34,              0,       3828,           34,        2001
 90,           124,              35,              0,       3916,           34,        2002
 91,           125,              35,              0,       4005,           35,        2001
 92,           126,              35,              0,       4095,           35,        2002
 93,           128,              36,            500,       4186,           35,        1501
 94,           129,              36,              0,       4278,           36,        2001
 95,           130,              36,              0,       4371,           36,        2001
 96,           131,              36,              0,       4465,           36,        2002
 97,           132,              36,              0,       4560,           36,        2001
 98,           134,              37,              0,       4656,           36,        2501
 99,           136,              38,              0,       4753,           37,        2502
100,           137,              38,              0,       4851,           38,        2001
