  n, quick_cmp, quick_swaps, quick_time
  0,         0,           0,          0
  1,         0,           0,          0
  2,         2,           2,          0
  3,         5,           2,          0
  4,        13,           4,          0
  5,        17,           7,          0
  6,        25,           8,          0
  7,        30,          11,          0
  8,        31,           9,          0
  9,        37,          11,          0
 10,        53,          15,          0
 11,        60,          16,        499
 12,        68,          18,          0
 13,        77,          20,          0
 14,        80,          22,          0
 15,        87,          24,          0
 16,       107,          26,          0
 17,       117,          28,          0
 18,       124,          30,        500
 19,       127,          30,          0
 20,       162,          36,          0
 21,       173,          37,          0
 22,       176,          37,        500
 23,       190,          39,          0
 24,       205,          41,          0
 25,       220,          43,          0
 26,       235,          45,        500
 27,       251,          47,          0
 28,       268,          49,          0
 29,       282,          50,        500
 30,       301,          52,          0
 31,       317,          54,          0
 32,       334,          56,          0
 33,       351,          58,          0
 34,       387,          62,        500
 35,       406,          64,          0
 36,       395,          63,        500
 37,       427,          66,          0
 38,       447,          67,        501
 39,       461,          68,          0
 40,       479,          70,        499
 41,       497,          72,          0
 42,       516,          74,        500
 43,       536,          76,        500
 44,       553,          77,        500
 45,       573,          79,          0
 46,       589,          80,        500
 47,       607,          82,        500
 48,       626,          84,          0
 49,       645,          86,        501
 50,       666,          88,        499
 51,       682,          89,          0
 52,       728,          91,          0
 53,       749,          93,        500
 54,       756,          94,        500
 55,       794,          96,        499
 56,       825,          98,        500
 57,       869,         102,          0
 58,       849,         101,        499
 59,       871,         103,        501
 60,       895,         105,        500
 61,       914,         106,        500
 62,       935,         108,        499
 63,       960,         110,        499
 64,       984,         112,        500
 65,      1008,         114,        500
 66,      1065,         116,        499
 67,      1090,         118,        500
 68,      1208,         122,       1000
 69,      1238,         124,        500
 70,      1265,         125,        500
 71,      1295,         127,       1000
 72,      1326,         129,        500
 73,      1356,         131,        500
 74,      1281,         129,       1000
 75,      1311,         131,        500
 76,      1303,         133,        500
 77,      1332,         135,       1000
 78,      1363,         137,        500
 79,      1389,         138,        499
 80,      1419,         140,       1001
 81,      1449,         142,        499
 82,      1563,         146,       1000
 83,      1594,         148,        500
 84,      1593,         149,       1001
 85,      1627,         151,       1000
 86,      1703,         154,        500
 87,      1737,         156,       1000
 88,      1774,         157,       1000
 89,      1812,         159,        500
 90,      1796,         159,        500
 91,      1830,         160,       1001
 92,      1868,         162,       1000
 93,      1907,         164,       1000
 94,      1942,         165,       1000
 95,      1980,         167,        500
 96,      2068,         171,        500
 97,      2107,         173,        500
 98,      2119,         172,        500
 99,      2162,         175,       1001
100,      2177,         175,       1000
