 n, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
 0,             0,               0,              0,          0,            0,           0
 1,             0,               0,              0,          0,            0,           0
 2,             1,               0,              0,          0,            0,           0
 3,             2,               0,              0,          1,            0,           0
 4,             3,               0,              0,          3,            0,           0
 5,             4,               0,              0,          6,            0,           0
 6,             6,               1,              0,         10,            0,           0
 7,            10,               4,              0,         15,            1,           0
 8,            11,               4,              0,         21,            4,           0
 9,            12,               4,              0,         28,            4,           0
10,            13,               4,              0,         36,            4,           0
