     n, quick_cmp, quick_swaps, quick_time
     0,         0,           0,          0
     1,         0,           0,          0
     2,         2,           2,          0
     3,         7,           2,          0
     4,        11,           5,          0
     5,        23,           8,          0
     6,        22,           7,          0
     7,        30,          11,          0
     8,        35,          10,          0
     9,        46,          12,          0
    10,        56,          16,          0
    11,        63,          18,        500
    12,        67,          19,          0
    13,        72,          21,          0
    14,        91,          25,          0
    15,        97,          27,          0
    16,       109,          27,          0
    17,       112,          28,          0
    18,       117,          31,        499
    19,       139,          32,          0
    20,       137,          37,          0
    21,       149,          39,          0
    22,       161,          43,          0
    23,       170,          44,        500
    24,       179,          49,          0
    25,       185,          51,          0
    26,       209,          45,          0
    27,       209,          50,        500
    28,       229,          59,          0
    29,       228,          60,          0
    30,       260,          64,        499
    31,       250,          63,          0
    32,       265,          65,          0
    33,       270,          66,        500
    34,       265,          63,          0
    35,       292,          70,          0
    36,       293,          71,        500
    37,       315,          78,          0
    38,       326,          82,        500
    39,       337,          85,          0
    40,       351,          81,        501
    41,       345,          85,          0
    42,       369,          85,          0
    43,       366,          88,        499
    44,       396,          96,          0
    45,       402,          92,          0
    46,       397,          94,          0
    47,       462,          98,          0
    48,       421,         101,        500
    49,       441,         103,          0
    50,       471,          95,        500
    51,       481,         100,          0
    52,       485,          99,        499
    53,       491,         117,        500
    54,       532,         111,          0
    55,       546,         115,        500
    56,       534,         116,        499
    57,       565,         116,          0
    58,       584,         124,        500
    59,       584,         122,        500
    60,       603,         136,          0
    61,       625,         128,        500
    62,       608,         133,        500
    63,       618,         133,        500
    64,       650,         141,          0
    65,       658,         142,        500
    66,       643,         137,        500
    67,       746,         151,        500
    68,       616,         138,        500
    69,       721,         147,          0
    70,       703,         156,          0
    71,       738,         164,        501
    72,       713,         153,        500
    73,       735,         169,        500
    74,       733,         161,        500
    75,       722,         168,        500
    76,       742,         164,        500
    77,       763,         169,        500
    78,       829,         178,        499
    79,       790,         180,        500
    80,       774,         176,        500
    81,       861,         175,        500
    82,       821,         185,        501
    83,       819,         190,        499
    84,       855,         196,        500
    85,       884,         197,        500
    86,       894,         197,        500
    87,       911,         193,        500
    88,       941,         201,        500
    89,       997,         200,        500
    90,       923,         199,        500
    91,       957,         205,        500
    92,      1038,         203,        500
    93,      1003,         217,        500
    94,      1052,         220,        500
    95,      1048,         214,        500
    96,      1062,         216,        499
    97,      1011,         208,        500
    98,      1068,         222,       1000
    99,      1061,         227,        500
   100,      1077,         225,        500
   101,      1084,         227,        500
   102,      1096,         227,        500
   103,      1108,         228,        500
   104,      1098,         232,        500
   105,      1142,         243,       1001
   106,      1138,         242,        500
   107,      1144,         241,       1000
   108,      1192,         249,        500
   109,      1210,         250,       1000
   110,      1236,         255,        500
   111,      1252,         262,       1000
   112,      1227,         269,        500
   113,      1236,         263,       1000
   114,      1264,         270,        500
   115,      1323,         271,       1001
   116,      1254,         270,        500
   117,      1294,         279,       1000
   118,      1378,         277,        500
   119,      1394,         278,       1001
   120,      1351,         284,       1000
   121,      1394,         288,        500
   122,      1342,         293,       1001
   123,      1451,         294,        500
   124,      1352,         298,        500
   125,      1496,         304,       1001
   126,      1472,         312,       1001
   127,      1555,         294,        499
   128,      1443,         317,        499
   129,      1458,         305,       1000
   130,      1529,         316,       1001
   131,      1518,         307,       1000
   132,      1583,         309,        500
   133,      1518,         322,       1000
   134,      1543,         327,       1001
   135,      1542,         330,       1000
   136,      1531,         333,       1000
   137,      1541,         337,       1001
   138,      1580,         330,        500
   139,      1589,         335,        500
   140,      1570,         339,       1000
   141,      1665,         341,       1001
   142,      1662,         340,       1000
   143,      1672,         340,       1001
   144,      1701,         349,       1000
   145,      1720,         349,       1000
   146,      1718,         361,       1000
   147,      1726,         352,       1000
