    n, heap_cmp, heap_swaps, heap_time
    0,        0,          0,         0
    1,        0,          0,         0
    2,        0,          1,         0
    3,        1,          2,         0
    4,        4,          5,         0
    5,        7,          7,         0
    6,       11,         10,         0
    7,       17,         14,         0
    8,       23,         18,         0
    9,       27,         19,         0
   10,       34,         21,         0
   11,       41,         26,         0
   12,       48,         33,         0
   13,       52,         37,         0
   14,       59,         41,         0
   15,       63,         43,         0
   16,       72,         50,         0
   17,       82,         57,         0
   18,       89,         59,         0
   19,       98,         65,         0
   20,      106,         71,         0
   21,      114,         74,       501
   22,      123,         81,         0
   23,      133,         86,         0
   24,      140,         90,         0
   25,      148,         94,         0
   26,      158,        100,       500
   27,      172,        107,         0
   28,      179,        111,         0
   29,      187,        114,       499
   30,      192,        121,         0
   31,      201,        125,         0
   32,      207,        127,         0
   33,      221,        136,       500
   34,      233,        137,         0
   35,      245,        148,         0
   36,      254,        154,         0
   37,      265,        158,         0
   38,      273,        167,       499
   39,      285,        169,         0
   40,      294,        176,       500
   41,      304,        179,         0
   42,      313,        185,         0
   43,      326,        192,         0
   44,      339,        196,         0
   45,      353,        204,       499
   46,      361,        208,         0
   47,      371,        213,         0
   48,      382,        224,       500
   49,      387,        223,         0
   50,      395,        228,       499
   51,      411,        233,         0
   52,      421,        237,       500
   53,      432,        245,         0
   54,      436,        242,       500
   55,      449,        260,       500
   56,      461,        263,         0
   57,      474,        267,       501
   58,      479,        273,       499
   59,      500,        281,         0
   60,      510,        291,       500
   61,      519,        293,       500
   62,      529,        296,       500
   63,      547,        310,       500
   64,      559,        317,       500
   65,      574,        324,       500
   66,      579,        326,       500
   67,      587,        333,       500
   68,      610,        345,         0
   69,      618,        347,       500
   70,      634,        355,       500
   71,      650,        371,       500
   72,      669,        382,       500
   73,      671,        382,       500
   74,      681,        388,       500
   75,      693,        394,       500
   76,      697,        392,       500
   77,      711,        401,       500
   78,      725,        411,       500
   79,      739,        416,      1001
   80,      752,        429,       500
   81,      767,        435,       500
   82,      771,        437,       500
   83,      786,        444,       500
   84,      798,        453,       500
   85,      812,        456,       500
   86,      825,        465,       500
   87,      844,        475,       500
   88,      855,        475,       501
   89,      872,        486,       500
   90,      881,        496,       499
   91,      891,        502,       500
   92,      896,        504,      1001
   93,      919,        520,       501
   94,      926,        521,       499
   95,      938,        532,       499
   96,      945,        529,       500
   97,      968,        544,       500
   98,      987,        554,       499
   99,      999,        559,      1000
  100,     1008,        563,       500
  101,     1017,        571,       500
  102,     1030,        579,      1001
  103,     1051,        595,       499
  104,     1056,        595,      1000
  105,     1066,        598,       500
  106,     1079,        607,       500
  107,     1100,        625,       500
  108,     1108,        620,       500
  109,     1122,        632,       500
  110,     1119,        635,       500
  111,     1141,        639,      1001
  112,     1147,        646,       499
  113,     1171,        653,       499
  114,     1182,        664,      1001
  115,     1200,        679,       499
  116,     1211,        687,      1000
  117,     1218,        686,      1002
  118,     1236,        697,       499
  119,     1250,        695,      1000
  120,     1258,        708,      1001
  121,     1275,        714,       500
  122,     1285,        720,      1001
  123,     1299,        731,      1000
  124,     1312,        738,      1000
  125,     1320,        739,      1000
  126,     1337,        759,       500
  127,     1354,        759,      1000
  128,     1378,        774,      1001
  129,     1377,        770,      1000
  130,     1404,        797,      1000
  131,     1415,        787,      1001
  132,     1431,        801,      1000
  133,     1438,        809,      1001
  134,     1456,        810,      1000
  135,     1473,        819,      1000
  136,     1485,        825,      1001
  137,     1489,        834,      1000
  138,     1504,        837,      1001
  139,     1521,        843,      1000
  140,     1541,        860,      1000
  141,     1556,        864,      1000
  142,     1578,        881,      1000
  143,     1589,        884,      1001
  144,     1612,        897,      1000
  145,     1611,        892,      1000
  146,     1641,        912,      1001
  147,     1652,        923,      1001
