    n, insertion_cmp, insertion_swaps, insertion_time
    0,             0,               0,              0
    1,             0,               0,              0
    2,             1,               0,              0
    3,             2,               0,              0
    4,             5,               3,              0
    5,             7,               4,              0
    6,            12,               9,              0
    7,            18,              15,              0
    8,            25,              21,              0
    9,            28,              23,              0
   10,            35,              29,              0
   11,            36,              29,            499
   12,            46,              38,              0
   13,            50,              41,              0
   14,            56,              46,              0
   15,            60,              49,              0
   16,            69,              57,              0
   17,            72,              59,              0
   18,            87,              73,              0
   19,            97,              82,            500
   20,           101,              85,              0
   21,           112,              95,              0
   22,           113,              95,              0
   23,           116,              97,            500
   24,           126,             106,              0
   25,           147,             126,              0
   26,           159,             137,              0
   27,           176,             153,            500
   28,           182,             158,              0
   29,           189,             164,            499
   30,           211,             185,              0
   31,           241,             215,              0
   32,           268,             241,            500
   33,           294,             266,            501
   34,           318,             289,              0
   35,           346,             316,            499
   36,           381,             350,            500
   37,           397,             365,            500
   38,           431,             398,              0
   39,           469,             436,            500
   40,           497,             463,            500
   41,           512,             477,            500
   42,           514,             478,            499
   43,           519,             482,            500
   44,           531,             493,            500
   45,           575,             537,            500
   46,           618,             579,            500
   47,           633,             593,            500
   48,           652,             611,           1000
   49,           696,             654,            500
   50,           723,             680,            500
   51,           753,             709,           1000
   52,           804,             759,            500
   53,           855,             809,           1001
   54,           905,             858,           1000
   55,           927,             879,           1000
   56,           973,             924,           1000
   57,          1026,             976,           1001
   58,          1036,             985,           1000
   59,          1091,            1039,           1000
   60,          1134,            1081,           1000
   61,          1162,            1108,           1501
   62,          1198,            1143,           1000
   63,          1216,            1160,           1000
   64,          1235,            1178,           1000
   65,          1293,            1235,           1501
   66,          1350,            1291,           1000
   67,          1363,            1303,           1501
   68,          1408,            1347,           1502
   69,          1430,            1368,           1500
   70,          1499,            1436,           1501
   71,          1529,            1465,           1501
   72,          1540,            1475,           1501
   73,          1587,            1521,           1501
   74,          1630,            1563,           1500
   75,          1699,            1631,           2001
   76,          1760,            1691,           1501
   77,          1806,            1736,           2001
   78,          1810,            1739,           1501
   79,          1837,            1765,           2002
   80,          1879,            1806,           2002
   81,          1907,            1833,           1500
   82,          1933,            1858,           2002
   83,          1936,            1860,           2001
   84,          1980,            1903,           2002
   85,          2050,            1972,           2001
   86,          2053,            1974,           2001
   87,          2089,            2009,           2002
   88,          2129,            2048,           2501
   89,          2191,            2109,           2002
   90,          2270,            2187,           2501
   91,          2323,            2239,           2001
   92,          2333,            2248,           2502
   93,          2400,            2314,           2501
   94,          2425,            2338,           2002
   95,          2454,            2366,           2001
   96,          2542,            2453,           2502
   97,          2630,            2540,           2502
   98,          2695,            2604,           2502
   99,          2710,            2618,           2501
  100,          2797,            2704,           3002
  101,          2811,            2717,           2501
  102,          2870,            2775,           3002
  103,          2904,            2808,           3002
  104,          2979,            2882,           3002
  105,          3083,            2985,           3002
  106,          3110,            3011,           3002
  107,          3199,            3099,           3002
  108,          3238,            3137,           3003
  109,          3333,            3231,           3002
  110,          3372,            3269,           3503
  111,          3457,            3353,           3502
  112,          3568,            3464,           3502
  113,          3603,            3498,           3503
  114,          3626,            3520,           4003
  115,          3738,            3631,           3503
  116,          3801,            3693,           4003
  117,          3820,            3711,           3503
  118,          3912,            3802,           4003
  119,          3956,            3845,           4003
  120,          4075,            3964,           4003
  121,          4103,            3991,           4004
  122,          4218,            4105,           4002
  123,          4304,            4190,           4504
  124,          4321,            4206,           4003
  125,          4352,            4236,           4503
  126,          4463,            4346,           4503
  127,          4564,            4446,           4503
  128,          4623,            4504,           4503
  129,          4704,            4584,           4503
  130,          4824,            4703,           5005
  131,          4943,            4821,           5003
  132,          5008,            4885,           5004
  133,          5087,            4963,           5003
  134,          5209,            5084,           5004
