    n, quick_cmp, quick_swaps, quick_time
    0,         0,           0,          0
    1,         0,           0,          0
    2,         2,           2,          0
    3,         5,           2,          0
    4,        12,           4,          0
    5,        20,           7,          0
    6,        25,           8,          0
    7,        31,          11,          0
    8,        43,          13,          0
    9,        47,          14,          0
   10,        56,          16,          0
   11,        65,          19,          0
   12,        74,          22,          0
   13,        81,          24,        501
   14,        85,          25,          0
   15,        89,          25,          0
   16,        95,          26,          0
   17,       103,          29,          0
   18,       119,          32,          0
   19,       121,          33,          0
   20,       141,          37,          0
   21,       152,          36,          0
   22,       160,          41,          0
   23,       174,          43,          0
   24,       177,          41,        500
   25,       167,          40,          0
   26,       201,          46,          0
   27,       203,          50,          0
   28,       205,          52,        500
   29,       214,          54,          0
   30,       237,          58,          0
   31,       232,          57,        500
   32,       245,          59,          0
   33,       269,          67,          0
   34,       277,          68,        499
   35,       289,          68,          0
   36,       293,          72,          0
   37,       310,          71,        500
   38,       302,          76,          0
   39,       315,          79,        500
   40,       334,          79,          0
   41,       347,          80,          0
   42,       391,          86,        500
   43,       387,          89,          0
   44,       398,          94,        500
   45,       380,          92,          0
   46,       399,          96,        500
   47,       427,         103,          0
   48,       412,         102,        500
   49,       474,         107,        500
   50,       470,         112,          0
   51,       476,         109,        499
   52,       469,         113,          0
   53,       473,         116,        500
   54,       497,         120,        500
   55,       511,         120,          0
   56,       537,         124,        501
   57,       568,         128,        499
   58,       574,         131,          0
   59,       591,         133,        500
   60,       575,         128,        500
   61,       633,         140,        500
   62,       598,         136,        501
   63,       689,         136,        500
   64,       689,         139,        499
   65,       712,         143,        500
   66,       686,         143,        500
   67,       666,         151,        500
   68,       703,         142,        500
   69,       733,         155,          0
   70,       727,         158,          0
   71,       752,         159,        500
   72,       751,         163,        500
   73,       750,         173,        500
   74,       745,         174,        500
   75,       772,         176,        499
   76,       795,         178,        500
   77,       797,         185,        500
   78,       820,         182,        500
   79,       817,         182,        500
   80,       867,         187,        500
   81,       834,         180,        500
   82,       815,         181,        500
   83,       937,         189,        499
   84,       911,         193,        500
   85,       913,         195,        499
   86,       935,         187,        501
   87,       918,         202,        499
   88,       921,         204,        500
   89,       900,         203,        500
   90,       973,         210,        501
   91,       952,         215,        499
   92,       995,         225,       1001
   93,      1029,         223,        500
   94,      1012,         213,        499
   95,      1006,         216,        500
   96,      1099,         220,        500
   97,      1110,         223,        500
   98,      1085,         234,        500
   99,      1127,         234,        500
  100,      1089,         238,       1000
  101,      1156,         237,        500
  102,      1095,         243,        500
  103,      1224,         245,       1000
  104,      1143,         246,        500
  105,      1211,         245,       1000
  106,      1206,         247,        500
  107,      1179,         261,        500
  108,      1175,         255,        500
  109,      1233,         255,        500
  110,      1229,         255,       1001
  111,      1333,         262,        500
  112,      1308,         258,       1000
  113,      1225,         260,        500
  114,      1339,         273,       1000
  115,      1255,         265,        500
  116,      1419,         277,       1001
  117,      1316,         269,        500
  118,      1323,         279,        499
  119,      1366,         280,       1000
  120,      1363,         284,        500
  121,      1378,         290,       1000
  122,      1368,         297,       1000
  123,      1361,         293,        501
  124,      1467,         301,       1000
  125,      1473,         306,       1000
  126,      1500,         308,        500
  127,      1473,         317,       1001
  128,      1477,         313,       1000
  129,      1518,         320,       1000
  130,      1499,         315,        500
  131,      1587,         321,       1000
  132,      1592,         316,       1000
  133,      1537,         324,       1001
  134,      1482,         321,        501
  135,      1522,         329,        500
  136,      1574,         331,       1001
  137,      1576,         327,       1001
  138,      1627,         344,       1000
  139,      1621,         345,       1000
  140,      1591,         344,        500
  141,      1713,         333,       1000
  142,      1748,         354,       1001
  143,      1708,         356,       1000
  144,      1719,         356,       1000
  145,      1680,         360,       1001
  146,      1699,         368,       1000
  147,      1653,         356,       1001
