    n, bubble_cmp, bubble_swaps, bubble_time
    0,          0,            0,           0
    1,          0,            0,           0
    2,          0,            0,           0
    3,          1,            0,           0
    4,          3,            0,           0
    5,          6,            3,           0
    6,         10,            4,           0
    7,         15,            9,           0
    8,         21,           15,           0
    9,         28,           21,           0
   10,         36,           23,           0
   11,         45,           29,           0
   12,         55,           29,         500
   13,         66,           38,           0
   14,         78,           41,           0
   15,         91,           46,           0
   16,        105,           49,           0
   17,        120,           57,           0
   18,        136,           59,         500
   19,        153,           73,           0
   20,        171,           82,           0
   21,        190,           85,           0
   22,        210,           95,         500
   23,        231,           95,           0
   24,        253,           97,           0
   25,        276,          106,         500
   26,        300,          126,           0
   27,        325,          137,         500
   28,        351,          153,           0
   29,        378,          158,         500
   30,        406,          164,           0
   31,        435,          185,         499
   32,        465,          215,         500
   33,        496,          241,           0
   34,        528,          266,         500
   35,        561,          289,         500
   36,        595,          316,         499
   37,        630,          350,         500
   38,        666,          365,         500
   39,        703,          398,         500
   40,        741,          436,         500
   41,        780,          463,        1000
   42,        820,          477,         500
   43,        861,          478,         500
   44,        903,          482,        1000
   45,        946,          493,         500
   46,        990,          537,         500
   47,       1035,          579,        1000
   48,       1081,          593,        1000
   49,       1128,          611,         500
   50,       1176,          654,        1001
   51,       1225,          680,         999
   52,       1275,          709,        1001
   53,       1326,          759,        1001
   54,       1378,          809,         999
   55,       1431,          858,        1000
   56,       1485,          879,        1501
   57,       1540,          924,        1000
   58,       1596,          976,        1501
   59,       1653,          985,        1000
   60,       1711,         1039,        1500
   61,       1770,         1081,        1501
   62,       1830,         1108,        1501
   63,       1891,         1143,        1501
   64,       1953,         1160,        1501
   65,       2016,         1178,        1501
   66,       2080,         1235,        1502
   67,       2145,         1291,        2001
   68,       2211,         1303,        1502
   69,       2278,         1347,        2001
   70,       2346,         1368,        1501
   71,       2415,         1436,        2002
   72,       2485,         1465,        2000
   73,       2556,         1475,        2002
   74,       2628,         1521,        2000
   75,       2701,         1563,        2001
   76,       2775,         1631,        2502
   77,       2850,         1691,        2002
   78,       2926,         1736,        2501
   79,       3003,         1739,        2001
   80,       3081,         1765,        2002
   81,       3160,         1806,        2500
   82,       3240,         1833,        2502
   83,       3321,         1858,        2501
   84,       3403,         1860,        2501
   85,       3486,         1903,        3003
   86,       3570,         1972,        2502
   87,       3655,         1974,        2501
   88,       3741,         2009,        2502
   89,       3828,         2048,        3002
   90,       3916,         2109,        2502
   91,       4005,         2187,        3002
   92,       4095,         2239,        3003
   93,       4186,         2248,        3502
   94,       4278,         2314,        3002
   95,       4371,         2338,        3002
   96,       4465,         2366,        3503
   97,       4560,         2453,        3002
   98,       4656,         2540,        3002
   99,       4753,         2604,        3002
  100,       4851,         2618,        3503
  101,       4950,         2704,        3503
  102,       5050,         2717,        3502
  103,       5151,         2775,        4004
  104,       5253,         2808,        4002
  105,       5356,         2882,        4003
  106,       5460,         2985,        4003
  107,       5565,         3011,        4003
  108,       5671,         3099,        4004
  109,       5778,         3137,        4503
  110,       5886,         3231,        4002
  111,       5995,         3269,        4504
  112,       6105,         3353,        4503
  113,       6216,         3464,        4503
  114,       6328,         3498,        4503
  115,       6441,         3520,        4503
  116,       6555,         3631,        5004
  117,       6670,         3693,        5003
  118,       6786,         3711,        5004
  119,       6903,         3802,        5004
  120,       7021,         3845,        5505
  121,       7140,         3964,        5003
  122,       7260,         3991,        5504
  123,       7381,         4105,        5504
  124,       7503,         4190,        5504
  125,       7626,         4206,        5504
  126,       7750,         4236,        6005
  127,       7875,         4346,        5504
  128,       8001,         4446,        6004
  129,       8128,         4504,        6005
  130,       8256,         4584,        6005
  131,       8385,         4703,        6506
  132,       8515,         4821,        6505
  133,       8646,         4885,        6004
