   n, heap_cmp, heap_swaps, heap_time
   0,        0,          0,         0
   1,        0,          0,         0
   2,        0,          1,         0
   3,        1,          3,         0
   4,        4,          6,         0
   5,        8,          8,         0
   6,       13,         13,         0
   7,       17,         14,         0
   8,       22,         18,         0
   9,       29,         22,         0
  10,       34,         26,         0
  11,       40,         30,         0
  12,       49,         35,         0
  13,       56,         38,         0
  14,       65,         42,         0
  15,       69,         45,         0
  16,       75,         50,         0
  17,       83,         54,         0
  18,       88,         57,       500
  19,       99,         62,         0
  20,      105,         66,         0
  21,      110,         70,         0
  22,      118,         77,         0
  23,      128,         82,         0
  24,      139,         86,       500
  25,      153,         96,         0
  26,      163,         99,         0
  27,      172,        103,         0
  28,      179,        107,       501
  29,      192,        114,         0
  30,      200,        116,         0
  31,      208,        123,       499
  32,      217,        130,         0
  33,      226,        132,         0
  34,      232,        138,       500
  35,      241,        141,         0
  36,      249,        145,         0
  37,      263,        152,       500
  38,      273,        163,         0
  39,      289,        167,       500
  40,      295,        170,         0
  41,      302,        177,         0
  42,      309,        183,       499
  43,      321,        189,         0
  44,      335,        198,       500
  45,      338,        198,         0
  46,      349,        204,       499
  47,      365,        210,         0
  48,      375,        218,       501
  49,      389,        224,         0
  50,      403,        237,         0
  51,      415,        242,       502
  52,      430,        251,         0
  53,      444,        259,       499
  54,      453,        266,       500
  55,      471,        275,         0
  56,      478,        280,       499
  57,      488,        284,       499
  58,      495,        290,         0
  59,      510,        297,       500
  60,      520,        304,       500
  61,      528,        306,       500
  62,      539,        314,         0
  63,      546,        310,       500
  64,      561,        320,       500
  65,      563,        324,       500
  66,      570,        328,       500
  67,      593,        342,         0
  68,      608,        351,       500
  69,      625,        356,       499
  70,      633,        361,       500
  71,      640,        365,       501
  72,      651,        369,       499
  73,      667,        377,       500
  74,      689,        392,       500
  75,      697,        399,       500
  76,      708,        409,       500
  77,      717,        412,       500
  78,      729,        420,       500
  79,      748,        428,       500
  80,      758,        433,       500
  81,      758,        432,       500
  82,      774,        442,       500
  83,      789,        452,       500
  84,      809,        457,       500
  85,      827,        466,       500
  86,      841,        471,       500
  87,      849,        481,      1001
  88,      852,        483,       499
  89,      870,        499,       500
  90,      872,        491,       500
  91,      893,        511,       500
  92,      904,        506,      1001
  93,      915,        515,       500
  94,      929,        526,       501
  95,      946,        534,      1000
  96,      956,        542,       499
  97,      965,        548,       500
  98,      979,        554,      1001
  99,     1006,        569,       500
 100,     1019,        576,       500
 101,     1035,        586,      1000
 102,     1047,        596,       500
 103,     1066,        600,      1000
 104,     1076,        603,       500
 105,     1083,        612,      1000
 106,     1092,        618,       500
 107,     1113,        629,      1000
 108,     1114,        632,       500
 109,     1136,        645,      1000
 110,     1150,        655,       500
 111,     1160,        655,      1000
 112,     1170,        656,      1001
 113,     1194,        676,       500
 114,     1193,        669,      1000
 115,     1217,        691,      1000
 116,     1229,        690,       500
 117,     1259,        711,      1000
 118,     1265,        720,      1001
 119,     1271,        714,       500
 120,     1286,        727,      1001
 121,     1307,        735,      1000
 122,     1312,        736,      1000
 123,     1327,        749,       500
 124,     1340,        750,      1000
 125,     1349,        756,      1000
 126,     1362,        764,      1000
 127,     1374,        771,      1001
 128,     1391,        777,       500
 129,     1401,        783,       500
 130,     1399,        778,      1000
 131,     1423,        793,      1001
 132,     1429,        799,      1000
 133,     1444,        804,       999
 134,     1464,        807,      1000
 135,     1471,        814,      1001
 136,     1497,        834,      1000
 137,     1507,        837,      1000
 138,     1517,        841,      1001
 139,     1516,        838,      1000
 140,     1531,        848,      1000
 141,     1554,        858,      1001
 142,     1566,        866,      1000
 143,     1586,        879,      1000
 144,     1590,        883,      1001
 145,     1608,        895,      1000
 146,     1636,        916,      1501
 147,     1633,        908,      1000
