   n, insertion_cmp, insertion_swaps, insertion_time
   0,             0,               0,              0
   1,             0,               0,              0
   2,             1,               0,              0
   3,             3,               1,              0
   4,             4,               1,              0
   5,             8,               4,              0
   6,            11,               6,              0
   7,            16,              10,              0
   8,            20,              13,              0
   9,            26,              18,              0
  10,            28,              19,              0
  11,            30,              20,              0
  12,            33,              22,              0
  13,            34,              22,              0
  14,            42,              29,              0
  15,            51,              37,              0
  16,            62,              47,              0
  17,            78,              62,            500
  18,            91,              74,              0
  19,            96,              78,              0
  20,           110,              91,              0
  21,           128,             108,              0
  22,           131,             110,            500
  23,           132,             110,              0
  24,           154,             131,              0
  25,           176,             152,            500
  26,           189,             164,              0
  27,           213,             187,              0
  28,           235,             208,            500
  29,           250,             222,              0
  30,           266,             237,            500
  31,           275,             245,              0
  32,           286,             255,              0
  33,           312,             280,            500
  34,           342,             309,              0
  35,           373,             339,            500
  36,           385,             350,            500
  37,           414,             378,            500
  38,           437,             400,            500
  39,           457,             419,            500
  40,           482,             443,            500
  41,           513,             473,            500
  42,           535,             494,            499
  43,           573,             531,            500
  44,           580,             537,            500
  45,           618,             574,            499
  46,           622,             577,            500
  47,           656,             610,           1001
  48,           692,             645,            500
  49,           720,             672,           1000
  50,           735,             686,            499
  51,           776,             726,           1001
  52,           789,             738,            500
  53,           791,             739,           1000
  54,           832,             779,            500
  55,           863,             809,           1001
  56,           882,             827,           1000
  57,           896,             840,           1000
  58,           906,             849,            500
  59,           947,             889,           1000
  60,           960,             901,           1000
  61,          1020,             961,           1000
  62,          1042,             982,           1000
  63,          1058,             997,           1001
  64,          1060,             998,           1501
  65,          1094,            1031,           1000
  66,          1104,            1040,           1001
  67,          1130,            1065,           1000
  68,          1183,            1117,           1501
  69,          1184,            1117,           1001
  70,          1225,            1157,           1000
  71,          1255,            1186,           1501
  72,          1305,            1235,           1501
  73,          1375,            1304,           1000
  74,          1406,            1334,           1501
  75,          1471,            1398,           1501
  76,          1539,            1465,           1501
  77,          1570,            1495,           1501
  78,          1608,            1532,           1501
  79,          1650,            1573,           2002
  80,          1707,            1629,           1501
  81,          1762,            1683,           2001
  82,          1808,            1728,           1501
  83,          1852,            1771,           2001
  84,          1929,            1847,           2001
  85,          1976,            1893,           2002
  86,          1985,            1901,           2001
  87,          2065,            1980,           2002
  88,          2115,            2029,           2501
  89,          2169,            2082,           2001
  90,          2223,            2135,           2002
  91,          2267,            2178,           2501
  92,          2326,            2236,           2001
  93,          2333,            2242,           2502
  94,          2426,            2335,           2501
  95,          2504,            2412,           2502
  96,          2518,            2425,           2501
  97,          2576,            2482,           2502
  98,          2578,            2483,           2501
  99,          2633,            2537,           3002
 100,          2660,            2563,           2502
 101,          2740,            2642,           3002
 102,          2808,            2709,           2502
 103,          2812,            2712,           3003
 104,          2915,            2815,           3001
 105,          2928,            2827,           3002
 106,          3010,            2908,           3002
 107,          3015,            2912,           3002
 108,          3020,            2916,           3002
 109,          3115,            3010,           3002
 110,          3127,            3021,           3002
 111,          3217,            3110,           3002
 112,          3246,            3138,           3503
 113,          3348,            3239,           3002
 114,          3409,            3299,           3002
 115,          3513,            3402,           3503
 116,          3566,            3454,           3503
 117,          3671,            3558,           4003
 118,          3686,            3572,           3502
 119,          3738,            3623,           4003
 120,          3833,            3717,           3503
 121,          3883,            3766,           4503
 122,          3908,            3790,           4503
 123,          3915,            3796,           4003
 124,          4000,            3880,           3503
 125,          4078,            3957,           4003
 126,          4130,            4008,           4003
 127,          4193,            4070,           4003
 128,          4307,            4183,           4003
 129,          4385,            4260,           4503
 130,          4498,            4372,           4504
 131,          4617,            4490,           4503
 132,          4729,            4601,           5011
 133,          4836,            4707,           4496
 134,          4861,            4731,           4503
 135,          4942,            4811,           5004
