   n, quick_cmp, quick_swaps, quick_time
   0,         0,           0,          0
   1,         0,           0,          0
   2,         2,           2,          0
   3,         7,           2,          0
   4,        10,           4,          0
   5,        19,           6,          0
   6,        28,           9,          0
   7,        34,          11,          0
   8,        37,          11,          0
   9,        45,          13,          0
  10,        48,          16,          0
  11,        56,          18,        498
  12,        63,          18,          0
  13,        74,          18,          0
  14,        86,          22,          0
  15,        98,          25,          0
  16,        97,          24,          0
  17,       115,          29,          0
  18,       114,          30,        501
  19,       128,          34,          0
  20,       134,          36,          0
  21,       159,          39,          0
  22,       166,          37,          0
  23,       172,          38,        500
  24,       180,          39,          0
  25,       183,          41,          0
  26,       222,          50,          0
  27,       212,          50,        500
  28,       222,          50,          0
  29,       243,          54,          0
  30,       245,          57,        499
  31,       256,          60,          0
  32,       263,          61,          0
  33,       276,          62,        500
  34,       285,          70,          0
  35,       298,          69,          0
  36,       317,          74,          0
  37,       313,          77,          0
  38,       326,          81,        500
  39,       364,          82,          0
  40,       346,          84,        500
  41,       362,          81,          0
  42,       368,          85,        500
  43,       373,          85,          0
  44,       415,          85,        500
  45,       413,          91,          0
  46,       440,          93,        500
  47,       447,          92,          0
  48,       429,          95,        500
  49,       462,         100,          0
  50,       451,         103,          0
  51,       485,         106,        500
  52,       493,         103,          0
  53,       541,         110,        500
  54,       515,         111,        500
  55,       536,         116,          0
  56,       513,         118,        500
  57,       526,         122,        500
  58,       555,         135,          0
  59,       569,         131,        499
  60,       582,         133,        499
  61,       636,         131,          0
  62,       583,         134,        500
  63,       606,         134,        500
  64,       626,         145,        500
  65,       643,         145,        500
  66,       668,         150,          0
  67,       673,         151,        500
  68,       702,         146,        500
  69,       694,         151,        500
  70,       672,         156,        499
  71,       694,         153,        500
  72,       705,         147,          0
  73,       782,         154,        500
  74,       726,         169,        500
  75,       828,         172,        499
  76,       758,         173,        500
  77,       810,         177,        501
  78,       806,         172,        500
  79,       814,         175,        499
  80,       856,         174,        500
  81,       860,         178,        499
  82,       829,         184,        501
  83,       895,         195,        500
  84,       909,         184,        499
  85,       957,         197,       1000
  86,       980,         189,        500
  87,       915,         198,        499
  88,       939,         204,        501
  89,       930,         202,        499
  90,       908,         200,        500
  91,       947,         211,        500
  92,      1017,         211,       1000
  93,      1110,         206,        500
  94,      1076,         218,        500
  95,      1044,         212,        500
  96,      1013,         214,       1000
  97,      1018,         216,        500
  98,      1045,         229,        500
  99,      1070,         229,        499
 100,      1054,         223,       1001
 101,      1213,         241,        500
 102,      1082,         238,        500
 103,      1127,         243,        500
 104,      1260,         229,        500
 105,      1191,         241,       1001
 106,      1208,         250,        499
 107,      1254,         245,       1000
 108,      1276,         247,        500
 109,      1260,         262,       1000
 110,      1198,         262,        500
 111,      1251,         255,       1000
 112,      1256,         266,        500
 113,      1387,         262,       1001
 114,      1274,         273,        500
 115,      1315,         262,        499
 116,      1291,         272,       1000
 117,      1353,         273,        500
 118,      1316,         267,       1001
 119,      1343,         287,        500
 120,      1427,         275,        500
 121,      1450,         284,       1000
 122,      1370,         289,       1000
 123,      1386,         293,        500
 124,      1422,         295,       1001
 125,      1334,         293,       1000
 126,      1461,         304,        501
 127,      1451,         315,        999
 128,      1557,         299,       1000
 129,      1443,         311,       1000
 130,      1544,         309,       1000
 131,      1574,         309,       1001
 132,      1515,         324,        500
 133,      1493,         319,       1001
 134,      1565,         332,       1000
 135,      1593,         328,       1000
 136,      1622,         332,       1001
 137,      1579,         334,       1000
 138,      1585,         331,       1001
 139,      1659,         345,       1000
 140,      1654,         333,       1000
 141,      1610,         341,       1000
 142,      1646,         348,       1000
 143,      1707,         354,       1001
 144,      1739,         338,       1000
 145,      1806,         357,       1000
 146,      1731,         353,       1001
