   n, bubble_cmp, bubble_swaps, bubble_time
   0,          0,            0,           0
   1,          0,            0,           0
   2,          0,            0,           0
   3,          1,            0,           0
   4,          3,            1,           0
   5,          6,            1,           0
   6,         10,            4,           0
   7,         15,            6,           0
   8,         21,           10,           0
   9,         28,           13,           0
  10,         36,           18,           0
  11,         45,           19,         501
  12,         55,           20,           0
  13,         66,           22,           0
  14,         78,           22,           0
  15,         91,           29,           0
  16,        105,           37,         499
  17,        120,           47,           0
  18,        136,           62,           0
  19,        153,           74,           0
  20,        171,           78,         499
  21,        190,           91,           0
  22,        210,          108,           0
  23,        231,          110,         500
  24,        253,          110,           0
  25,        276,          131,           0
  26,        300,          152,         500
  27,        325,          164,           0
  28,        351,          187,         501
  29,        378,          208,         500
  30,        406,          222,           0
  31,        435,          237,         499
  32,        465,          245,         500
  33,        496,          255,           0
  34,        528,          280,        1000
  35,        561,          309,           0
  36,        595,          339,           0
  37,        630,          350,           0
  38,        666,          378,         500
  39,        703,          400,         500
  40,        741,          419,        1000
  41,        780,          443,         500
  42,        820,          473,         501
  43,        861,          494,        1000
  44,        903,          531,         500
  45,        946,          537,        1000
  46,        990,          574,         500
  47,       1035,          577,        1000
  48,       1081,          610,        1000
  49,       1128,          645,         500
  50,       1176,          672,        1000
  51,       1225,          686,        1000
  52,       1275,          726,        1000
  53,       1326,          738,        1001
  54,       1378,          739,        1000
  55,       1431,          779,        1500
  56,       1485,          809,        1000
  57,       1540,          827,        1001
  58,       1596,          840,        1501
  59,       1653,          849,        1501
  60,       1711,          889,        1001
  61,       1770,          901,        1501
  62,       1830,          961,        1500
  63,       1891,          982,        1501
  64,       1953,          997,        1000
  65,       2016,          998,        1501
  66,       2080,         1031,        1501
  67,       2145,         1040,        2001
  68,       2211,         1065,        1501
  69,       2278,         1117,        1501
  70,       2346,         1117,        1500
  71,       2415,         1157,        1501
  72,       2485,         1186,        2001
  73,       2556,         1235,        2001
  74,       2628,         1304,        1502
  75,       2701,         1334,        2001
  76,       2775,         1398,        2002
  77,       2850,         1465,        2001
  78,       2926,         1495,        2001
  79,       3003,         1532,        2001
  80,       3081,         1573,        2001
  81,       3160,         1629,        2502
  82,       3240,         1683,        2001
  83,       3321,         1728,        2502
  84,       3403,         1771,        2502
  85,       3486,         1847,        2501
  86,       3570,         1893,        2502
  87,       3655,         1901,        2501
  88,       3741,         1980,        2502
  89,       3828,         2029,        2502
  90,       3916,         2082,        3002
  91,       4005,         2135,        3002
  92,       4095,         2178,        3002
  93,       4186,         2236,        3001
  94,       4278,         2242,        3002
  95,       4371,         2335,        3002
  96,       4465,         2412,        3002
  97,       4560,         2425,        3503
  98,       4656,         2482,        3002
  99,       4753,         2483,        3503
 100,       4851,         2537,        3502
 101,       4950,         2563,        3503
 102,       5050,         2642,        3503
 103,       5151,         2709,        3503
 104,       5253,         2712,        4003
 105,       5356,         2815,        4003
 106,       5460,         2827,        3502
 107,       5565,         2908,        3503
 108,       5671,         2912,        4003
 109,       5778,         2916,        4003
 110,       5886,         3010,        4003
 111,       5995,         3021,        4503
 112,       6105,         3110,        4003
 113,       6216,         3138,        4504
 114,       6328,         3239,        5003
 115,       6441,         3299,        4503
 116,       6555,         3402,        5004
 117,       6670,         3454,        4504
 118,       6786,         3558,        5003
 119,       6903,         3572,        5004
 120,       7021,         3623,        5003
 121,       7140,         3717,        5005
 122,       7260,         3766,        5003
 123,       7381,         3790,        5504
 124,       7503,         3796,        5505
 125,       7626,         3880,        5004
 126,       7750,         3957,        5503
 127,       7875,         4008,        6005
 128,       8001,         4070,        5505
 129,       8128,         4183,        5504
 130,       8256,         4260,        5504
 131,       8385,         4372,        6004
 132,       8515,         4490,        6505
 133,       8646,         4601,        6006
