  n, heap_cmp, heap_swaps, heap_time
  0,        0,          0,         0
  1,        0,          0,         0
  2,        0,          1,         0
  3,        1,          2,         0
  4,        4,          6,         0
  5,        8,          9,         0
  6,       12,         11,         0
  7,       16,         12,         0
  8,       20,         15,         0
  9,       28,         20,         0
 10,       35,         25,         0
 11,       41,         28,         0
 12,       46,         30,         0
 13,       50,         32,         0
 14,       54,         34,         0
 15,       62,         39,         0
 16,       71,         46,         0
 17,       82,         54,       501
 18,       91,         58,         0
 19,       97,         59,         0
 20,      107,         68,         0
 21,      116,         72,         0
 22,      124,         74,         0
 23,      132,         81,       500
 24,      140,         86,         0
 25,      148,         91,         0
 26,      154,         97,         0
 27,      165,        100,       500
 28,      172,        106,         0
 29,      180,        107,         0
 30,      183,        112,         0
 31,      195,        116,       500
 32,      204,        124,         0
 33,      219,        131,         0
 34,      228,        136,       500
 35,      237,        144,         0
 36,      251,        147,         0
 37,      259,        153,       499
 38,      267,        157,         0
 39,      278,        161,       499
 40,      292,        170,         0
 41,      304,        175,         0
 42,      314,        186,         0
 43,      324,        193,         0
 44,      336,        201,       499
 45,      348,        207,         0
 46,      358,        214,       500
 47,      367,        219,         0
 48,      379,        221,         0
 49,      394,        232,       500
 50,      402,        236,       500
 51,      407,        238,         0
 52,      417,        245,       500
 53,      429,        252,         0
 54,      442,        261,       500
 55,      451,        268,       500
 56,      463,        273,         0
 57,      476,        276,       501
 58,      487,        284,       500
 59,      494,        287,         0
 60,      503,        292,       499
 61,      522,        302,       500
 62,      529,        302,       500
 63,      543,        313,         0
 64,      551,        318,       500
 65,      561,        326,       499
 66,      577,        332,       500
 67,      585,        335,       500
 68,      592,        342,         0
 69,      613,        355,       500
 70,      629,        360,       500
 71,      642,        367,       501
 72,      658,        376,       499
 73,      665,        377,       500
 74,      673,        387,       500
 75,      682,        392,       500
 76,      702,        404,       500
 77,      713,        408,       500
 78,      728,        415,       500
 79,      736,        420,       500
 80,      753,        429,       500
 81,      767,        438,       500
 82,      782,        449,       500
 83,      794,        453,       500
 84,      803,        456,       500
 85,      820,        470,       500
 86,      832,        477,      1000
 87,      839,        475,       500
 88,      859,        493,       500
 89,      871,        496,       500
 90,      884,        502,       500
 91,      894,        507,      1000
 92,      906,        517,       500
 93,      918,        521,       500
 94,      926,        522,       500
 95,      942,        534,      1001
 96,      961,        543,       500
 97,      981,        554,       500
 98,      989,        563,      1001
 99,      997,        565,       500
100,     1009,        572,       500
