  n, quick_cmp, quick_swaps, quick_time
  0,         0,           0,          0
  1,         0,           0,          0
  2,         4,           2,          0
  3,         8,           3,          0
  4,        13,           4,          0
  5,        17,           7,          0
  6,        25,           8,          0
  7,        34,          11,          0
  8,        41,          13,          0
  9,        53,          16,          0
 10,        51,          15,          0
 11,        66,          20,          0
 12,        68,          20,          0
 13,        75,          21,        500
 14,        86,          24,          0
 15,        95,          26,          0
 16,       104,          27,          0
 17,       109,          30,          0
 18,       130,          35,          0
 19,       126,          34,        500
 20,       132,          33,          0
 21,       149,          36,          0
 22,       145,          38,          0
 23,       168,          43,          0
 24,       186,          45,        500
 25,       196,          51,          0
 26,       195,          50,          0
 27,       208,          55,        500
 28,       227,          58,          0
 29,       235,          59,          0
 30,       237,          59,        500
 31,       239,          61,          0
 32,       245,          62,          0
 33,       251,          63,        500
 34,       261,          67,          0
 35,       270,          64,          0
 36,       292,          72,        499
 37,       294,          71,          0
 38,       318,          73,        500
 39,       317,          80,          0
 40,       340,          76,        499
 41,       353,          84,        500
 42,       361,          85,          0
 43,       371,          87,        500
 44,       362,          87,        500
 45,       377,          92,          0
 46,       428,          93,        500
 47,       396,          95,          0
 48,       430,          94,        500
 49,       470,         100,          0
 50,       445,         106,        500
 51,       496,         107,          0
 52,       495,         108,        500
 53,       499,         110,        500
 54,       531,         112,          0
 55,       529,         120,        500
 56,       545,         121,        500
 57,       530,         120,          0
 58,       521,         125,        500
 59,       514,         121,        500
 60,       535,         122,          0
 61,       580,         129,        500
 62,       598,         134,        500
 63,       611,         136,        499
 64,       624,         136,          0
 65,       625,         138,        500
 66,       677,         143,        500
 67,       673,         146,        500
 68,       674,         154,        500
 69,       662,         145,          0
 70,       675,         152,        500
 71,       695,         152,        500
 72,       746,         164,        500
 73,       732,         164,        500
 74,       723,         169,        500
 75,       745,         165,        500
 76,       802,         174,          0
 77,       855,         169,        501
 78,       794,         175,        499
 79,       816,         180,        500
 80,       846,         179,        501
 81,       834,         189,        500
 82,       912,         186,        499
 83,       849,         192,        500
 84,       893,         200,        500
 85,       890,         197,        500
 86,       901,         203,        500
 87,       943,         198,        501
 88,       979,         204,        500
 89,       985,         200,        500
 90,       939,         214,        499
 91,       971,         207,        500
 92,       988,         210,        500
 93,      1004,         217,        499
 94,      1010,         219,       1001
 95,      1070,         222,        500
 96,      1008,         220,        500
 97,      1011,         215,        500
 98,      1033,         221,        500
 99,      1078,         229,        500
100,      1037,         235,        500
