  n, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
  0,             0,               0,              0,          0,            0,           0
  1,             0,               0,              0,          0,            0,           0
  2,             1,               1,              0,          0,            0,           0
  3,             2,               1,              0,          1,            1,           0
  4,             4,               2,              0,          3,            1,           0
  5,             5,               2,              0,          6,            2,           0
  6,            10,               6,              0,         10,            2,           0
  7,            13,               8,              0,         15,            6,           0
  8,            20,              15,              0,         21,            8,           0
  9,            26,              20,              0,         28,           15,         500
 10,            34,              27,              0,         36,           20,           0
 11,            40,              32,              0,         45,           27,           0
 12,            44,              35,              0,         55,           32,           0
 13,            55,              45,              0,         66,           35,           0
 14,            59,              48,              0,         78,           45,         499
 15,            67,              55,              0,         91,           48,           0
 16,            70,              57,              0,        105,           55,           0
 17,            83,              69,              0,        120,           57,         501
 18,            92,              77,              0,        136,           69,           0
 19,            95,              79,              0,        153,           77,         499
 20,           114,              98,              0,        171,           79,           0
 21,           133,             116,              0,        190,           98,         500
 22,           154,             136,              0,        210,          116,           0
 23,           168,             149,            500,        231,          136,           0
 24,           182,             162,              0,        253,          149,         500
 25,           198,             177,              0,        276,          162,         500
 26,           211,             189,              0,        300,          177,         500
 27,           235,             212,              0,        325,          189,         500
 28,           241,             217,              0,        351,          212,         502
 29,           248,             223,              0,        378,          217,           0
 30,           255,             229,            500,        406,          223,           0
 31,           268,             241,            500,        435,          229,         500
 32,           280,             252,              0,        465,          241,         500
 33,           293,             264,              0,        496,          252,         499
 34,           321,             291,            500,        528,          264,         499
 35,           329,             298,              0,        561,          291,         500
 36,           357,             325,            500,        595,          298,         500
 37,           386,             353,            501,        630,          325,         499
 38,           415,             381,            499,        666,          353,         500
 39,           419,             384,              0,        703,          381,         499
 40,           458,             423,            500,        741,          384,         500
 41,           486,             450,            500,        780,          423,         500
 42,           508,             471,            500,        820,          450,         500
 43,           538,             500,            501,        861,          471,        1000
 44,           544,             505,            499,        903,          500,         500
 45,           558,             518,            500,        946,          505,        1000
 46,           580,             539,            500,        990,          518,        1001
 47,           610,             568,            500,       1035,          539,         500
 48,           635,             592,           1000,       1081,          568,         500
 49,           677,             633,           1001,       1128,          592,         499
 50,           716,             671,           1000,       1176,          633,         500
 51,           726,             680,            501,       1225,          671,        1000
 52,           729,             682,            499,       1275,          680,        1001
 53,           748,             700,           1000,       1326,          682,        1000
 54,           800,             751,            500,       1378,          700,        1001
 55,           848,             798,            500,       1431,          751,        1001
 56,           884,             833,           1000,       1485,          798,        1000
 57,           908,             856,           1001,       1540,          833,        1500
 58,           949,             896,           1000,       1596,          856,        1000
 59,          1007,             953,           1001,       1653,          896,        1500
 60,          1018,             963,           1000,       1711,          953,        1002
 61,          1067,            1011,            999,       1770,          963,        1501
 62,          1098,            1041,           1000,       1830,         1011,        1501
 63,          1105,            1047,           1001,       1891,         1041,        1500
 64,          1129,            1070,           1501,       1953,         1047,        1500
 65,          1139,            1079,           1001,       2016,         1070,        1500
 66,          1190,            1129,           1000,       2080,         1079,        2002
 67,          1252,            1190,           1000,       2145,         1129,        1500
 68,          1318,            1255,           1502,       2211,         1190,        1500
 69,          1382,            1318,           1501,       2278,         1255,        2002
 70,          1448,            1383,           1500,       2346,         1318,        2002
 71,          1502,            1436,           1500,       2415,         1383,        1501
 72,          1503,            1436,           2001,       2485,         1436,        2001
 73,          1571,            1503,           1501,       2556,         1436,        2001
 74,          1616,            1547,           1500,       2628,         1503,        2001
 75,          1682,            1612,           2001,       2701,         1547,        2002
 76,          1706,            1635,           1501,       2775,         1612,        2501
 77,          1710,            1638,           1501,       2850,         1635,        2001
 78,          1746,            1673,           2002,       2926,         1638,        2001
 79,          1814,            1740,           2002,       3003,         1673,        2001
 80,          1819,            1744,           2001,       3081,         1740,        2501
 81,          1859,            1783,           1501,       3160,         1744,        2002
 82,          1882,            1805,           2001,       3240,         1783,        2502
 83,          1933,            1855,           2001,       3321,         1805,        2501
 84,          1938,            1859,           2001,       3403,         1855,        2502
 85,          1983,            1903,           2001,       3486,         1859,        2502
 86,          2010,            1929,           2001,       3570,         1903,        2502
 87,          2055,            1973,           2001,       3655,         1929,        2502
 88,          2094,            2011,           2002,       3741,         1973,        3002
 89,          2130,            2046,           2002,       3828,         2011,        3001
 90,          2185,            2100,           2001,       3916,         2046,        3003
 91,          2198,            2112,           2001,       4005,         2100,        3003
 92,          2212,            2125,           2502,       4095,         2112,        2500
 93,          2255,            2167,           2002,       4186,         2125,        3002
 94,          2295,            2206,           2002,       4278,         2167,        3502
 95,          2303,            2213,           2002,       4371,         2206,        3001
 96,          2379,            2288,           2501,       4465,         2213,        3002
 97,          2421,            2329,           2002,       4560,         2288,        3502
 98,          2517,            2424,           2502,       4656,         2329,        3003
 99,          2602,            2508,           3001,       4753,         2424,        3002
100,          2664,            2569,           2502,       4851,         2508,        3503
