 n, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
 0,             0,               0,              0,          0,            0,           0
 1,             0,               0,              0,          0,            0,           0
 2,             1,               0,              0,          0,            0,           0
 3,             2,               0,              0,          1,            0,           0
 4,             4,               1,              0,          3,            0,           0
 5,             8,               5,              0,          6,            1,           0
 6,            13,               9,              0,         10,            5,           0
 7,            15,              10,              0,         15,            9,           0
 8,            17,              11,              0,         21,           10,           0
 9,            20,              13,            500,         28,           11,           0
10,            21,              13,              0,         36,           13,           0
